"t" "mg"
"315" 496.664768518519 3.04
"316" 496.666238425926 4.2
"317" 497.873414351852 3.12
"318" 498.705289351852 3.2
"319" 499.183333333333 3.39
"320" 500.024722222222 3.71
"321" 500.279849537037 3.08
"322" 502.671712962963 3.03
"323" 506.850231481481 3.4
"324" 510.471979166667 3.27
"325" 510.951909722222 3.28
"326" 517.143703703704 3.1
"327" 518.917557870371 3.15
"328" 519.378819444444 3.21
"329" 519.578784722222 3.3
"330" 521.708912037037 3.3
"331" 522.048668981482 3.63
"332" 524.04599537037 3.54
"333" 526.331956018518 3.29
"334" 526.826620370371 3.03
"335" 530.766689814815 3.63
"336" 532.727060185185 3.9
"337" 534.300636574074 3.71
"338" 534.349768518518 3.8
"339" 534.432268518519 3.87
"340" 534.477951388889 3.68
"341" 537.32707175926 3.54
"342" 537.344155092593 3.35
"343" 537.702673611111 3.32
"344" 543.485347222222 3.62
"345" 546.058217592593 3.36
"346" 549.021180555555 3.15
"347" 552.757997685185 3.07
"348" 556.599826388889 3.1
"349" 558.324560185185 3.45
"350" 559.816631944444 3.12
"351" 563.040162037037 3.78
"352" 564.878761574074 4.02
"353" 570.13662037037 3.45
"354" 570.948414351852 3.33
"355" 572.543680555556 3.24
"356" 580.873043981482 3.59
"357" 581.7703125 4.28
"358" 581.770416666666 4.31
"359" 581.77130787037 3.51
"360" 581.79300925926 5.66
"361" 581.796724537037 3.38
"362" 581.797696759259 3.96
"363" 581.83980324074 3.34
"364" 581.846273148148 3.29
"365" 581.857372685186 3.33
"366" 581.900636574074 3.03
"367" 581.927534722222 4.34
"368" 581.952662037037 3.3
"369" 582.024085648148 3.05
"370" 582.112974537037 3.1
"371" 582.21875 3.16
"372" 582.277430555556 3.07
"373" 582.281840277778 3.1
"374" 582.906689814815 4.33
"375" 582.932222222223 3.39
"376" 582.96400462963 3.12
"377" 584.049456018519 3.08
"378" 584.3028125 4.33
"379" 584.31125 3.52
"380" 585.18662037037 3.04
"381" 586.657754629629 3.37
"382" 586.667083333334 3.3
"383" 586.6884375 3.44
"384" 586.6896875 3.35
"385" 586.70494212963 3.33
"386" 586.76079861111 3.42
"387" 586.821053240741 3.63
"388" 586.821585648148 3.37
"389" 588.562789351852 3.13
"390" 590.167465277777 3.49
"391" 591.550648148148 3.39
"392" 591.847372685185 3.11
"393" 592.270775462963 3.05
"394" 593.368993055556 4.06
"395" 596.879641203704 3.14
"396" 597.236377314814 3.31
"397" 597.876041666666 3.42
"398" 598.304895833333 3.24
"399" 598.664201388889 3.24
"400" 599.305347222222 3.28
"401" 599.305590277778 3.55
"402" 599.30675925926 4.35
"403" 605.084803240741 3.36
"404" 606.49275462963 3.23
"405" 606.496585648149 3.15
"406" 606.624398148148 3.93
"407" 608.851296296296 3.3
"408" 611.336076388889 3.11
"409" 613.898483796296 3.14
"410" 616.100428240741 3.03
"411" 616.803668981482 3.58
"412" 617.230914351851 3.01
"413" 622.418576388889 3.33
"414" 623.096307870371 3.05
"415" 623.673460648148 3.47
"416" 627.607673611111 3.08
"417" 634.284664351851 3.08
"418" 636.10050925926 3.01
"419" 636.343796296296 3
"420" 641.280694444445 4.58
"421" 642.451458333333 3.01
"422" 646.135949074074 3.05
"423" 647.220625 4.04
"424" 649.303078703703 3.68
"425" 649.52730324074 3
"426" 650.669988425926 3.12
"427" 651.107349537037 3.34
"428" 651.107476851852 3.07
"429" 653.428252314815 3.08
"430" 655.700949074074 3.16
"431" 661.925462962963 3.2
"432" 662.910092592592 3.29
"433" 664.896400462963 3.49
"434" 666.397800925926 3.06
"435" 666.398310185185 3.27
"436" 666.404513888889 3.02
"437" 666.517951388889 3.52
"438" 669.19420138889 3.07
"439" 670.16324074074 3.61
"440" 670.797326388889 3.09
"441" 673.964895833334 3.34
"442" 675.25457175926 3.26
"443" 679.475856481481 3.33
"444" 681.978726851852 3.09
"445" 686.129155092593 3.28
"446" 687.60537037037 3.08
"447" 687.662233796296 3.19
"448" 688.826574074074 3.11
"449" 688.864537037037 3.51
"450" 693.872407407407 3.38
"451" 694.140046296297 4.35
"452" 694.297384259259 3.29
"453" 695.322465277778 3.2
"454" 698.952476851852 3.08
"455" 701.066180555556 3.21
"456" 701.474050925926 3.18
"457" 706.889363425926 3.32
"458" 708.455960648148 3.27
"459" 711.65525462963 3.01
"460" 714.27898148148 3.46
"461" 715.715173611111 3.18
"462" 715.912349537037 3.04
"463" 716.324375 3.14
"464" 728.275752314815 3.02
"465" 729.538032407408 3.26
"466" 729.715949074074 3.1
"467" 742.73736111111 3.11
"468" 744.88349537037 3.3
"469" 748.077777777778 3.42
"470" 750.149305555556 3.04
"471" 753.018668981482 3.36
"472" 764.85287037037 3.03
"473" 764.972083333333 3
"474" 771.362523148148 3.31
"475" 772.029328703704 3.13
"476" 775.388611111111 3.06
"477" 778.425381944445 3.94
"478" 778.790717592593 3.36
"479" 779.135486111111 3.14
"480" 779.39269675926 3.06
"481" 779.39337962963 3.12
"482" 780.36625 3.91
"483" 787.44607638889 3.01
"484" 792.293761574074 3.19
"485" 792.887731481482 3.28
"486" 799.278958333333 3.42
"487" 799.981435185186 4.14
"488" 799.995104166666 3
"489" 802.692361111111 3.28
"490" 806.363472222222 3.24
"491" 809.617824074074 3.22
"492" 825.61851851852 3.67
"493" 826.05681712963 3.53
"494" 841.60832175926 3.36
"495" 844.417916666666 3.52
"496" 844.419131944444 3.63
"497" 844.419155092593 3.18
"498" 844.438472222222 3.61
"499" 846.1315625 3.23
"500" 846.36383101852 3.39
"501" 851.339467592593 3.13
"502" 855.95212962963 3.28
"503" 855.952592592593 3.21
"504" 857.815381944444 3.06
"505" 860.261631944444 3.07
"506" 862.0221875 3.49
"507" 863.770497685186 3.35
"508" 869.467280092593 3.04
"509" 870.18244212963 3.06
"510" 870.442395833334 3.13
"511" 870.920300925926 3.01
"512" 873.779108796296 3.86
"513" 874.664224537037 3.32
"514" 881.362962962963 3.48
"515" 884.88528935185 3.74
"516" 885.259108796296 3.24
"517" 888.701412037037 3.11
"518" 891.729166666667 3.16
"519" 894.850868055555 3.78
"520" 898.310335648148 3.34
"521" 899.884328703703 3.38
